in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-2,-2,-2,0.088052,264.464814,dy_4-2_dx_0-2_dy_0-2.png
-1.2,-2,-2,0.107625,260.988382,dy_4-1.2_dx_0-2_dy_0-2.png
-0.4,-2,-2,0.195942,264.873702,dy_4-0.4_dx_0-2_dy_0-2.png
0.4,-2,-2,0.171583,277.156372,dy_40.4_dx_0-2_dy_0-2.png
1.2,-2,-2,0.086206,297.173611,dy_41.2_dx_0-2_dy_0-2.png
2,-2,-2,0.065358,322.538661,dy_42_dx_0-2_dy_0-2.png
-2,-1.2,-2,0.080091,227.442584,dy_4-2_dx_0-1.2_dy_0-2.png
-1.2,-1.2,-2,0.089947,225.916649,dy_4-1.2_dx_0-1.2_dy_0-2.png
-0.4,-1.2,-2,0.145506,231.804612,dy_4-0.4_dx_0-1.2_dy_0-2.png
0.4,-1.2,-2,0.137251,245.814849,dy_40.4_dx_0-1.2_dy_0-2.png
1.2,-1.2,-2,0.078403,267.236453,dy_41.2_dx_0-1.2_dy_0-2.png
2,-1.2,-2,0.061664,293.727336,dy_42_dx_0-1.2_dy_0-2.png
-2,-0.4,-2,0.065508,196.03249,dy_4-2_dx_0-0.4_dy_0-2.png
-1.2,-0.4,-2,0.072638,197.42172,dy_4-1.2_dx_0-0.4_dy_0-2.png
-0.4,-0.4,-2,0.115378,205.687553,dy_4-0.4_dx_0-0.4_dy_0-2.png
0.4,-0.4,-2,0.118644,221.442538,dy_40.4_dx_0-0.4_dy_0-2.png
1.2,-0.4,-2,0.074144,244.139724,dy_41.2_dx_0-0.4_dy_0-2.png
2,-0.4,-2,0.059888,271.584209,dy_42_dx_0-0.4_dy_0-2.png
-2,0.4,-2,0.051119,172.027648,dy_4-2_dx_00.4_dy_0-2.png
-1.2,0.4,-2,0.064267,177.144382,dy_4-1.2_dx_00.4_dy_0-2.png
-0.4,0.4,-2,0.107386,187.550493,dy_4-0.4_dx_00.4_dy_0-2.png
0.4,0.4,-2,0.116585,204.615767,dy_40.4_dx_00.4_dy_0-2.png
1.2,0.4,-2,0.074533,228.180617,dy_41.2_dx_00.4_dy_0-2.png
2,0.4,-2,0.060495,256.236974,dy_42_dx_00.4_dy_0-2.png
-2,1.2,-2,0.053155,169.051561,dy_4-2_dx_01.2_dy_0-2.png
-1.2,1.2,-2,0.070131,175.476081,dy_4-1.2_dx_01.2_dy_0-2.png
-0.4,1.2,-2,0.124185,186.440104,dy_4-0.4_dx_01.2_dy_0-2.png
0.4,1.2,-2,0.134134,203.809901,dy_40.4_dx_01.2_dy_0-2.png
1.2,1.2,-2,0.080405,227.565741,dy_41.2_dx_01.2_dy_0-2.png
2,1.2,-2,0.06379,255.752851,dy_42_dx_01.2_dy_0-2.png
-2,2,-2,0.064716,206.412145,dy_4-2_dx_02_dy_0-2.png
-1.2,2,-2,0.085129,209.651666,dy_4-1.2_dx_02_dy_0-2.png
-0.4,2,-2,0.167501,219.091259,dy_4-0.4_dx_02_dy_0-2.png
0.4,2,-2,0.176055,235.593542,dy_40.4_dx_02_dy_0-2.png
1.2,2,-2,0.091725,258.79481,dy_41.2_dx_02_dy_0-2.png
2,2,-2,0.069762,286.598348,dy_42_dx_02_dy_0-2.png
-2,-2,-1.2,0.096335,244.851632,dy_4-2_dx_0-2_dy_0-1.2.png
-1.2,-2,-1.2,0.129127,237.443473,dy_4-1.2_dx_0-2_dy_0-1.2.png
-0.4,-2,-1.2,0.249243,238.390537,dy_4-0.4_dx_0-2_dy_0-1.2.png
0.4,-2,-1.2,0.183791,248.64698,dy_40.4_dx_0-2_dy_0-1.2.png
1.2,-2,-1.2,0.085491,267.300773,dy_41.2_dx_0-2_dy_0-1.2.png
2,-2,-1.2,0.063924,291.741507,dy_42_dx_0-2_dy_0-1.2.png
-2,-1.2,-1.2,0.095394,205.569768,dy_4-2_dx_0-1.2_dy_0-1.2.png
-1.2,-1.2,-1.2,0.112218,199.291426,dy_4-1.2_dx_0-1.2_dy_0-1.2.png
-0.4,-1.2,-1.2,0.167251,202.188987,dy_4-0.4_dx_0-1.2_dy_0-1.2.png
0.4,-1.2,-1.2,0.134928,214.448073,dy_40.4_dx_0-1.2_dy_0-1.2.png
1.2,-1.2,-1.2,0.074785,234.829433,dy_41.2_dx_0-1.2_dy_0-1.2.png
2,-1.2,-1.2,0.058784,260.674532,dy_42_dx_0-1.2_dy_0-1.2.png
-2,-0.4,-1.2,0.091708,172.414672,dy_4-2_dx_0-0.4_dy_0-1.2.png
-1.2,-0.4,-1.2,0.084896,168.284487,dy_4-1.2_dx_0-0.4_dy_0-1.2.png
-0.4,-0.4,-1.2,0.113937,174.097213,dy_4-0.4_dx_0-0.4_dy_0-1.2.png
0.4,-0.4,-1.2,0.107896,188.734169,dy_40.4_dx_0-0.4_dy_0-1.2.png
1.2,-0.4,-1.2,0.068973,210.860276,dy_41.2_dx_0-0.4_dy_0-1.2.png
2,-0.4,-1.2,0.056537,237.980958,dy_42_dx_0-0.4_dy_0-1.2.png
-2,0.4,-1.2,0.069203,145.116678,dy_4-2_dx_00.4_dy_0-1.2.png
-1.2,0.4,-1.2,0.062123,145.936829,dy_4-1.2_dx_00.4_dy_0-1.2.png
-0.4,0.4,-1.2,0.096712,155.477058,dy_4-0.4_dx_00.4_dy_0-1.2.png
0.4,0.4,-1.2,0.10464,172.254292,dy_40.4_dx_00.4_dy_0-1.2.png
1.2,0.4,-1.2,0.070062,195.690688,dy_41.2_dx_00.4_dy_0-1.2.png
2,0.4,-1.2,0.057915,223.679035,dy_42_dx_00.4_dy_0-1.2.png
